"page_title","obama_Jan20","trump_Jan25","trump_Jan31"
"Speeches and Remarks | whitehouse.gov",TRUE,TRUE,TRUE
"Statements and Releases | whitehouse.gov",TRUE,TRUE,TRUE
"Rosalynn Smith Carter | whitehouse.gov",TRUE,TRUE,TRUE
"Sarah Childress Polk | whitehouse.gov",TRUE,TRUE,TRUE
"Andrew Jackson | whitehouse.gov",TRUE,TRUE,TRUE
"Andrew Johnson | whitehouse.gov",TRUE,TRUE,TRUE
"Benjamin Harrison | whitehouse.gov",TRUE,TRUE,TRUE
"Presidential Memoranda | whitehouse.gov",TRUE,TRUE,TRUE
"Proclamations | whitehouse.gov",TRUE,TRUE,TRUE
"The First Ladies | whitehouse.gov",TRUE,TRUE,TRUE
"The Presidents | whitehouse.gov",TRUE,TRUE,TRUE
